accenture,accent,future,knight
advertainment,advertising,entertainment,knight
advertecture,advertising,architecture,knight
advertorial,advertising,editorial,knight
aerobatics,aerial,acrobatics,knight
affluenza,affluence,influenza,knight
altadena,alta,pasadena,knight
amerind,american,indigenous,knight
anacronym,anachronism,acronym,knight
anecdata,anecdote,data,knight
animatrix,animated,matrix,knight
animatronics,animation,electronics,knight
animutation,animation,mutation,knight
arcology,architecture,ecology,knight
aricent,arise,ascent,knight
arkadelphia,arkansas,philadelphia,knight
austerical,austerity,hysterical,knight
automagic,automatic,magic,knight
automagical,automatic,magical,knight
automobilia,automobile,memorabilia,knight
avionics,aviation,electronics,knight
backronym,backwards,acronym,knight
bakerloo,baker,waterloo,knight
banjitar,banjo,guitar,knight
bankster,bank,gangster,knight
banoffee,banana,toffee,knight
bayonetwork,bayonet,network,knight
bedaffle,bedazzle,baffle,knight
beefalo,beef,buffalo,knight
beerage,beer,peerage,knight
bennifer,ben,jennifer,knight
beurgeois,beur,bourgeois,knight
billex,bill,alex,knight
bionicle,bionic,chronicle,knight
bit,binary,digit,knight
blaccent,black,accent,knight
blackanese,black,japanese,knight
blackup,black,backup,knight
blasian,black,asian,knight
blaxican,black,mexican,knight
blaxploitation,black,exploitation,knight
bleen,blue,green,knight
blipster,black,hipster,knight
blorph,blend,morph,knight
bodacious,bold,audacious,knight
bollywood,bombay,hollywood,knight
bootylicious,booty,delicious,knight
boxercise,boxing,exercise,knight
boxster,boxer,roadster,knight
brainiac,brain,maniac,knight
brangelina,brad,angelina,knight
brangus,brahmin,angus,knight
brogrammer,bro,programmer,knight
bromance,bro,romance,knight
brony,bro,pony,knight
brostache,bro,mustache,knight
brouter,bridge,router,knight
brunch,breakfast,lunch,knight
bullycide,bullying,suicide,knight
calexico,california,mexico,knight
californication,california,fornication,knight
cama,camel,llama,knight
cameleopard,camel,leopard,knight
caninja,canine,ninja,knight
caplet,capsule,tablet,knight
carboloy,carbon,alloy,knight
carborundum,carbon,corundum,knight
cassingle,cassette,single,knight
celesbian,celebrity,lesbian,knight
chigorette,chigorin,cigarette,knight
chillax,chill,relax,knight
chinglish,chinese,english,knight
chiwaukee,chicago,milwaukee,knight
chokebreaker,chokeslam,backbreaker,knight
chrismukkah,christmas,hanukkah,knight
chuggers,charity,muggers,knight
chunnel,channel,tunnel,knight
cinedigm,cinema,paradigm,knight
clamato,clam,tomato,knight
clink,click,link,knight
clintwood,clinton,eastwood,knight
clopen,closed,open,knight
cocacolonization,cocacola,colonization,knight
comcastic,comcast,fantastic,knight
coopetition,cooperation,competition,knight
cosplay,costume,play,knight
cramerica,cramer,america,knight
craptacular,crap,spectacular,knight
cremains,cremate,remains,knight
crisitunity,crisis,opportunity,knight
crooklyn,crook,brooklyn,knight
crunk,crazy,drunk,knight
cryptex,cryptology,codex,knight
cyberdelic,cybernetics,psychedelic,knight
cyborg,cybernetic,organism,knight
czenglish,czech,english,knight
dancercise,dance,exercise,knight
danimals,dannon,animals,knight
darkane,dark,arcane,knight
darwine,darwin,wine,knight
deliquid,delicious,liquid,knight
digerati,digital,literati,knight
digipeater,digital,repeater,knight
dilemmachine,dilemma,machine,knight
disgussion,disgust,discussion,knight
disturbia,disturb,suburbia,knight
documercial,documentary,commercial,knight
dramastic,dramatic,drastic,knight
dramedy,drama,comedy,knight
ebonics,ebony,phonics,knight
ecoteur,ecological,saboteur,knight
edexcel,educational,excel,knight
edutainment,education,entertainment,knight
electrocution,electricity,execution,knight
employagility,employability,agility,knight
escalator,escalate,elevator,knight
eurabia,europe,arabia,knight
exercycle,exercise,cycle,knight
faction,fact,fiction,knight
famiclone,famicom,clone,knight
fanon,fan,canon,knight
fantabulous,fantastic,fabulous,knight
fedex,federal,ex,knight
feminazi,feminist,nazi,knight
fergelicious,fergie,delicious,knight
fertigate,fertilize,irrigate,knight
flavorite,flavor,favorite,knight
flexicurity,flexibility,security,knight
flong,flip,pong,knight
florala,florida,alabama,knight
fluidram,fluid,dram,knight
fluidrive,fluid,drive,knight
folksonomy,folk,taxonomy,knight
foon,fork,spoon,knight
forgirl,former,girl,knight
fpoon,frosty,spoon,knight
fracket,fraternity,jacket,knight
franglais,francais,anglais,knight
frappuccino,frappe,cappuccino,knight
fratire,fraternity,satire,knight
fraudience,fraud,audience,knight
freakonomics,freak,economics,knight
frenemy,friend,enemy,knight
froogle,frugal,google,knight
frowlculation,frown,calculation,knight
fruitopia,fruit,utopia,knight
frusion,fruit,fusion,knight
fugly,fuck,ugly,knight
galumph,gallop,triumph,knight
garriage,gay,marriage,knight
gaydar,gay,radar,knight
gaysian,gay,asian,knight
geep,goat,sheep,knight
gerrymander,gerry,salamander,knight
ginormous,gigantic,enormous,knight
glenbard,glen,lombard,knight
glenbrook,glenview,northbrook,knight
grasscycle,grass,recycle,knight
groupon,group,coupon,knight
grue,green,blue,knight
guesstimate,guess,estimate,knight
guitard,guitar,retard,knight
guyliner,guy,eyeliner,knight
gypish,gypsy,cheapish,knight
hackintosh,hack,macintosh,knight
hairigami,hair,origami,knight
hasbian,hasbeen,lesbian,knight
hebrish,hebrew,english,knight
herstory,her,history,knight
hinglish,hindi,english,knight
hipsturbia,hipster,suburbia,knight
homocaust,homosexual,holocaust,knight
hotlanta,hot,atlanta,knight
humanure,human,manure,knight
hunglish,hungarian,english,knight
ideanomics,idea,economics,knight
illiana,illinois,indiana,knight
imagineering,imagination,engineering,knight
ineptitude,inept,aptitude,knight
infomercial,information,commercial,knight
infortainment,information,entertainment,knight
insinnuendo,insinuate,innuendo,knight
instrumedley,instrument,medley,knight
intellicentre,intelligent,centre,knight
interrobang,interrogative,bang,knight
intertwingle,intertwine,intermingle,knight
irregardless,irrespective,regardless,knight
japlish,japanese,english,knight
jazzercise,jazz,exercise,knight
jcrewpon,jcrew,coupon,knight
jeggings,jeans,leggings,knight
jeopard,jaguar,leopard,knight
joggling,jogging,juggling,knight
jorts,jeans,shorts,knight
joygasm,joy,orgasm,knight
juneteenth,june,nineteenth,knight
