Blend,Head,Type,Brand,POS,sw1,sw1_POS,sw2,sw2_POS,sw3,sw3_POS,Source,sw source,Definition,LengthDiffSyll,LengthDiffSeg,sw1_stress,sw2_stress,StressReduction,StressHypothesis,SegReduction,sw1length,sw1percent,sw1deleted,sw2length,sw2percent,sw2deleted,SegHypothesis
abhorrible,2,WW,no,adj,abhor,v,horrible,adj,,,Thurner (OED),,dreadful; detestable,-1,-4,1,1,0,0,0,5,1,0,7,1,0,0
abnormous,1,LR,no,adj,abnormal,adj,enormous,adj,,,Thurner (WE),,abnormal or irregular,0,1,1,1,0,1,1,8,0.875,1,7,0.857142857,1,0
abortuary,2,LR,no,n,abortion,n,mortuary,n,,,Thurner,,"an abortion clinic, labeled as such by foes of legalized abortion",-1,-3,1,1,0,0,1,7,0.571428571,3,8,0.875,1,1
Abracurldabra,both,embed,yes,n,Abracadabra,expr,curl,n,,,Thurner (BTC),KS,hair-curling appliance (Windmere Corp),,,,,,,,,,,,,,
absolete,2,LR,no,adj,absolute,adj,obsolete,adj,,,Thurner (OED),,"complete, finished, or done with",0,0,1,1,0,0,1,7,0.857142857,1,7,0.857142857,1,0
abusak,2,WR,no,n,abuse,v,Muzak,n,,,Thurner (SL),,a slang term for elevator music,0,-1,1,1,0,0,0.5,5,1,0,6,0.833333333,1,0
acceleread,1,LW,no,v,accelerate,v,read,v,,,Thurner (MBN),,the act of increasing one's reading speed,3,11,1,0.5,0.5,1,1,8,0.75,2,3,0.666666667,1,0
adaptitude,2,WW,no,n,adapt,v,aptitude,n,,,Thurner (WE),,a special ability or aptitude,-1,-4,1,1,0,0,0,5,1,0,7,1,0,0
administralia,1,LR,no,n,administration,n,Australia,n,,,Thurner (JA),,"the uppper echelon of corporate management, a realm which is, for many employees, as remote and mysterious as a distant foreign land",2,9,1,1,0,1,1,13,0.846153846,2,8,0.875,1,1
administrivia,2,LR,no,n,administration,n,trivia,n,,,Thurner (JO),,a derisive name for the presumed duties of an administrator,2,11,1,1,0,0,0.5,13,0.769230769,3,6,1,0,1
adrenergic,2,LW,no,adj,adrenalin,n,energic,adj,,,Thurner (DNW),,pertaining to physiological actions and reactions resulting from the release of adrenalin,1,5,1,1,0,0,0.5,9,0.666666667,3,6,1,0,1
adverteasement,matrix,embed,no,n,advertisement,n,tease,v,,,Thurner (WW),,newspaper slang for a phony print ad which is meant to help determine whether customers are actually reading a newspaper's printed advertising,,,,,,,,,,,,,,
advertique,both,LR,no,n,advertisement,n,antique,n,,,Thurner (OED),,an antique collector's name for an early piece of advertising,2,10,0.5,1,0.5,0,1,11,0.454545455,6,5,0.8,1,1
advertorial,both,LR,no,n,advertisement,n,editorial,n,,,Thurner (NW),,a feature in a newspaper or magazine which appears as an editorial but is paid for by an advertiser,-1,0,0.5,1,0.5,0,1,11,0.545454545,5,9,0.777777778,2,1
Africar,2,WW,no,n,Africa,n,car,n,,,Thurner (NW),KS,a light all-terrain vehicle which has been designed for use in the African wilderness,2,7,1,0.5,0.5,0,0.5,6,0.833333333,1,3,1,0,1
Africrafts,2,LW,yes,n,Africa,n,crafts,n,,,Thurner (BTC),KS,"woodenware figurines, drums, stools (Holladay International)",,,,,,,,,,,,,,
aggranoy,both,LR,no,v,aggravate,v,annoy,v,,,Thurner (DS),,"Australian slang, meaning to annoy",1,6,0.5,1,0.5,0,0.5,7,0.571428571,3,3,1,0,1
aggrovoke,both,LR,no,v,aggravate,v,provoke,v,,,Thurner (DS),,"Australian slang, meaning to incite or provoke",1,3,0.5,1,0.5,0,1,7,0.714285714,2,6,0.833333333,1,1
agreemony,2,WR,no,n,agree,v,acrimony,n,,,Thurner (OED),,"agreeableness, the opposite of acrimony",-2,-8,1,0,1,0,0.5,4,1,0,8,0.625,3,0
agrimation,2,LR,no,n,agriculture,n,automation,n,,,Thurner (AM),,the use of automated systems in farming,0,1,0.5,1,0.5,1,1,9,0.555555556,4,8,0.625,3,1
agrindustry,2,LW,no,n,agriculture,n,industry,n,,,Thurner (BNE),,a comprehensive term encompassing the various manufacturing and service industries related to agriculture,1,3,0.5,1,0.5,1,0.5,9,0.555555556,4,8,1,0,1
ailevator,both,LR,no,n,aileron,n,elevator,n,,,Thurner (WE),,an airplane control surface that combines the functions of an aileron and an elevator,-1,-4,1,1,0,1,1,5,0.6,2,7,0.857142857,1,1
Airacuda,2,WR,no,n,air,n,barracuda,n,,,Thurner (AEM),,the name given to an American fighter-bomber aircraft introduced in 1937,-3,-12,0.5,1,0.5,1,0.5,2,1,0,8,0.875,1,0
airbrasive,2,WR,no,adj,air,n,abrasive,adj,,,Thurner (WE),,pertaining to the grinding of tooth surfaces with a stream of abrasive particles under air or gas pressure,-2,-9,0.5,1,0.5,1,0.5,2,1,0,7,0.857142857,1,0
airdraulic,2,WR,no,adj,air,n,hydraulic,adj,,,Thurner (WE),,characteristic of a process which combines pneumatic and hydraulic operations,-2,-10,0.5,1,0.5,1,0.5,2,1,0,8,0.75,2,0
airmada,2,WR,no,n,air,n,armada,n,,,Thurner (DAS),,a large group or formation of warplanes,-2,-8,0.5,1,0.5,1,0.5,2,1,0,6,0.833333333,1,0
airphibian,2,WR,no,n,air,n,amphibian,n,,,Thurner (NA),,an all-purpose vehicle proposed by futurists during the 1950s,-3,-12,0.5,1,0.5,1,0.5,2,1,0,8,0.75,2,0
airtillery,2,WR,no,n,air,n,artillery,n,,,Thurner (DNW),,bombardment consisting of guided missiles or other long-range weapons fired from surface launchers,-3,-11,0.5,1,0.5,1,0.5,2,1,0,7,0.857142857,1,0
Alaskimo,2,LR,yes,n,Alaska,n,eskimo,n,,,Thurner (BTC),,sporting goods (Stearns),,,,,,,,,,,,,,
alcoholiday,2,WW,no,n,alcohol,n,holiday,n,,,Thurner (SEL),,a holiday in which the primary activity is the drinking of alcoholic beverages,0,1,0.5,1,0.5,1,0,7,1,0,6,1,0,0
aldermanity,2,WR,no,n,alderman,n,humanity,n,,,Thurner (DS),,the quality of being an alderman,-1,-4,0.5,1,0.5,1,1,7,0.857142857,1,9,0.666666667,3,0
alegar,2,LR,no,n,ale,n,vinegar,n,,,Thurner (WE),,vinegar made from ale; malt vinegar,-2,-8,1,1,0,0,0.5,2,1,0,6,0.5,3,0
alibiography,2,WW,no,n,alibi,n,biography,n,,,Thurner (WW),,an autobiography offered as an explanation or apology for the behavior of the author,-1,-5,0.5,1,0.5,1,0,5,1,0,8,1,0,0
Aliencounter,2,WW,yes,n,alien,n,encounter,n,,,Thurner (BTC),KS,computer software (Milliken Publishing Co.),,,,,,,,,,,,,,
alphabetterment,2,WW,no,n,alphabet,n,betterment,n,,,Thurner (MBD),,"government agencies or programs which are meant to promote economic recover and social welfare, so named because they are often characterized by acronymic labels",0,-1,0.5,1,0.5,1,0,7,1,0,8,1,0,0
alphametic,both,LR,no,n,alphabetic,adj,arithmetic,n,,,Thurner (BDN),,a mathematical puzzle in which a problem is presented using letters instead of numerals,0,0,1,1,0,1,1,9,0.888888889,1,9,0.555555556,4,0
altazimuth,both,LR,no,n,altitude,n,azimuth,n,,,Thurner (ID),,"the location of an airplane in flight, as determined by its distance from the ground and its relation to the arc of the curved horizon",0,1,0.5,1,0.5,0,0.5,7,0.571428571,3,6,1,0,1
altiloquence,2,LR,no,n,altitude,n,eloquence,n,,,Thurner (WAW),,high-flown or pompous oratory,0,-1,0.5,1,0.5,1,0.5,7,0.571428571,3,8,1,0,1
alundum,both,LR,no,n,aluminum,n,corundum,n,,,Thurner (OED),,"a hard material created by fusing aluminum in a furnace, used mainly as an abrasive agent",1,3,1,1,0,1,1,8,0.375,5,7,0.714285714,2,1
ambiloquence,2,LR,no,n,ambiguous,adj,eloquence,n,,,Thurner (WAW),,skill in the art of double talk,1,3,1,1,0,0,1,9,0.666666667,3,8,0.875,1,1
ambisextrous,matrix,embed,no,adj,ambidextrous,adj,sex,n,,,Thurner (WE),,a characteristic of one whose sex is not readily distinguishable by appearance alone; also used to describe a person who is bisexual,,,,,,,,,,,,,,
Amerasian,both,LW,no,n,American,n,Asian,n,,,Thurner (WES),,a person of mixed American and Asian ancestry,2,8,0,1,1,0,0.5,8,0.25,6,4,1,0,1
Amerathon,both,LW,yes,n,America,n,marathon,n,,,Thurner (BTC),KS,tires (Carlisle Corp),,,,,,,,,,,,,,
Amerenglish,2,LW,no,n,American,adj,English,n,,,Thurner (OED),,the particular form of English that is spoken in America,2,6,0,1,1,1,0.5,8,0.25,6,6,1,0,1
Americaid,2,LR,yes,n,America,n,aid,n,,,Thurner (WO),,"a word coined by staff members of the Nixon administration in 1972, offered to take the place and also to relieve the stigma of the word welfare",,,,,,,,,,,,,,
Americanecdote,2,WW,no,n,American,adj,anecdote,n,,,Thurner,,an anecdote that involves Americans or is characteristic of American life,1,3,0.5,1,0.5,1,0.5,8,0.875,1,7,1,0,1
Americards,2,WW,yes,n,America,n,cards,n,,,Thurner (TND),KS,Christmas cards (Americom Corp.),,,,,,,,,,,,,,
Americola,2,LW,yes,n,America,n,cola,n,,,Thurner (BTC),KS,Soft drinks (Polar Corp.),,,,,,,,,,,,,,
Americrafts,2,LW,yes,n,America,n,crafts,n,,,Thurner (BTC),KS,"Decorative accessories (White Consolodated Industries, Inc.)",,,,,,,,,,,,,,
Americut,both,LW,yes,n,America,n,cut,n,,,Thurner (BTC),KS,Steel siding (Alside Inc.),,,,,,,,,,,,,,
Amerindian,2,LW,no,n,American,n,Indian,n,,,Thurner (AL),,an Indian of the North American continent,1,4,0,1,1,1,0.5,8,0.25,6,6,1,0,1
ampacity,2,LR,no,n,ampere,n,capacity,n,,,Thurner (DST),,a means of rating current-carrying capacity as measured in amperes,-2,-7,0.5,1,0.5,1,1,5,0.6,2,8,0.75,2,1
Amplifire,1,orth,yes,n,amplifier,n,fire,n,,,Thurner (BTC),KS,"head extractors for fireplaces (Portland Willamette Division of Thomas Industries, Inc.)",,,,,,,,,,,,,,
anecdotage,2,WW,no,n,anecdote,n,dotage,n,,,Thurner (WE),,advanced age when accompanied by a tendency to reminisce,1,4,0.5,1,0.5,1,0,7,1,0,5,1,0,0
anecdotard,2,WW,no,n,anecdote,n,dotard,n,,,Thurner (WE),,a person exhibiting the characteristics of anecdotage,1,4,0.5,1,0.5,1,0,7,1,0,5,1,0,0
animatronics,2,LR,no,n,animate,v,electronics,n,,,Thurner (NW),,techniques of traditional pupetry combined with modern electronics to create special effects for use in modern film animation,-1,-7,0.5,1,0.5,1,0.5,6,1,0,11,0.636363636,4,0
animule,both,LW,no,n,animal,n,mule,n,,,Thurner (AET),,"American slang serving as a means of addressing an obstinate mule, later used in reference to any stubborn or troublesome animal",2,6,1,0.5,0.5,1,0.5,6,0.833333333,1,4,1,0,1
aniseed,2,LW,no,n,anise,n,seed,n,,,Thurner (WE),,"the seed of anise, an herb commonly used as a flavoring in cordials and cooking",1,3,1,0.5,0.5,0,0,4,1,0,3,1,0,0
ansurge,2,WW,no,n,answer,n,urge,n,,,Thurner (WO),,a name given to the sense of being overcome by an irrisistible urge to answer the telephone whenever it rings,1,4,1,0.5,0.5,0,0,4,1,0,2,1,0,0
anticipointment,both,LR,no,n,anticipation,n,disappointment,n,,,Thurner (AM),,"a sense of great anticipation, immediately followed by great disappointment",1,1,1,1,0,1,1,11,0.818181818,2,12,0.916666667,1,1
aphidozer,2,WR,no,n,aphid,n,hopperdozer,n,,,Thurner (WE),,"a device consisting of a hopper and revolving brushes, used to brush off and collect aphids from cultivated crops",-2,-8,1,1,0,0,0.5,4,1,0,8,0.5,4,0
applaudience,2,WW,no,n,applaud,v,audience,n,,,Thurner (FW),,an audience determined to be favorable to a performer or performers,-1,-3,1,1,0,0,0,5,1,0,6,1,0,0
applaudit,2,WW,no,n,applaud,v,plaudit,n,,,Thurner (OED),,a vigorous expression of approval,0,-1,1,1,0,0,0,5,1,0,6,1,0,0
apprehendicitis,2,WR,no,n,apprehend,v,appendicitis,n,,,Thurner (SEL),,psychiatric jargon referring to a condition in which intense feelings of apprehension are the cause of acute abdominal pain,-2,-7,0.5,1,0.5,1,0.5,8,1,0,11,0.909090909,1,0
Apricoating,2,LW,yes,n,apricot,n,coating,n,,,Thurner (BTC),KS,"fruit icing (Adolph J. Mainzer, Inc.)",,,,,,,,,,,,,,
Aqualarm,2,WW,yes,n,aqua,n,alarm,n,,,Thurner (BTC),KS,"Pool and spa flow switches, boat alarms (Aqualarm, Inc.)",,,,,,,,,,,,,,
